mes,hora,IEXTMIN,IEXTMAX,IEXTPROM,error,k,C,dec,h,B,AM,Azimut,AngIncidencia,IDirect0,IDif0,IT0,IDirect0error,IDif0error,IT0error
Marzo,14,937.4,1042.12,989.76,52.36,0.16,0.08,-2.42,-30,47.19,1.36,-47.56,30.12,688.68,59.23,747.91,36.43,3.13,39.56
Marzo,15,743.88,842.23,793.055,49.175,0.16,0.08,-2.42,-45,36.53,1.68,-61.88,45.16,427.44,45.09,472.52,26.5,2.8,29.3
Marzo,16,493.75,588.5,541.125,47.375,0.16,0.08,-2.42,-60,24.51,2.41,-71.62,59.79,185.17,27.37,212.55,16.21,2.4,18.61
Marzo,17,208.2,298.15,253.175,44.975,0.16,0.08,-2.42,-75,11.81,4.88,-81.93,75.75,28.54,8.63,37.17,5.07,1.53,6.6
Marzo,18,14.4,34.42,24.41,10.01,0.16,0.08,-2.42,-90,1.19,48.34,-89.95,88.95,0,0,0,0,0,0
Abril,5,14.83,22.55,18.69,3.86,0.18,0.1,9.41,105,8.19,7.02,73.91,74.78,1.39,0.49,1.88,0.29,0.1,0.39
Abril,6,120.6,262.58,191.59,70.99,0.18,0.1,9.41,90,4.59,12.48,81.93,81.94,2.84,1.88,4.73,1.05,0.7,1.75
Abril,7,421.2,549.62,485.41,64.21,0.18,0.1,9.41,75,17.62,3.3,89.95,74.89,69.84,24.92,94.76,9.24,3.3,12.54
Abril,8,699,810.83,754.915,55.915,0.18,0.1,9.41,60,30.67,1.96,81.93,59.99,265.34,49.33,314.66,19.65,3.65,23.31
Abril,9,932.95,1028.35,980.65,47.7,0.18,0.1,9.41,45,43.49,1.45,73.91,46.02,524.5,70.24,594.74,25.51,3.42,28.93
